TIME,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load
09:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,394
09:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,413
09:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,410
10:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,418
10:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,422
10:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,411
10:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,411
10:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,408
10:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,397
10:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,395
10:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,375
10:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,432
10:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,403
10:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,401
10:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,424
11:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,419
11:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,419
11:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,409
11:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,447
11:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,412
11:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,384
11:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,407
11:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,391
11:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,399
11:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,386
11:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,390
11:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,372
12:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,377
12:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,385
12:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,407
12:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,382
12:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,397
12:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,386
12:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,394
12:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,415
12:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,408
12:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,404
12:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,398
12:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,396
13:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,390
13:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,396
13:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,384
13:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,379
13:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,379
13:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,373
13:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,393
13:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,370
13:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,381
13:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,380
13:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,367
13:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,383
14:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,384
14:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,373
14:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,361
14:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,368
14:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,365
14:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,352
14:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,365
14:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,346
14:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,352
14:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,357
14:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,349
14:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,349
15:00:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,347
15:05:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,354
15:10:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,360
15:15:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,360
15:20:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,355
15:25:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,357
15:30:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,356
15:35:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,376
15:40:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,366
15:45:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,393
15:50:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,372
15:55:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,358
16:00:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,500,0,359
16:05:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,365
16:10:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,371
16:15:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,367
16:20:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,381
16:25:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,373
16:30:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,362
16:35:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,369
16:40:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,366
16:45:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,364
16:50:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,364
16:55:00,0.25,0.21,0.11,0.02,0.01,0,1,1,23,50,0.38,300,2000,0,361
17:00:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,583
17:05:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,587
17:10:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,601
17:15:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,577
17:20:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,582
17:25:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,582
17:30:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,576
17:35:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,568
17:40:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,585
17:45:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,579
17:50:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,554
17:55:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.12,450,2000,0,571
